ticker,Total_Shares,ETF_Count,Holding_ETFs
NVDA,206795704.0,35,"QUAL美国质量因子, BAI创新与科技, DYLG道琼斯 30®备兑看涨期权及成长型, SMH 半导体, 科技XLK, smhx无晶圆半导体, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, ARTY人工智能与科技, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, MTUM美国动量因子, trut科技, 自动驾驶及电动汽车DRIV, 数据中心及数字基础设施DTCR, GXPTMSCI 信息技术, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, HAIL智能出行, XSD半导体, USMV美国最小波动率, node链上经济, ibot机器人, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, 人工智能与机器人botz, SOXX 半导体, 人工智能与科技AIQ, CHPXAI 半导体&量子, THRO美国主题轮动"
INTC,143211079.0,26,"BAI创新与科技, SMH 半导体, VLUE美国价值因子, 科技XLK, xsd半导体, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, MTUM美国动量因子, trut科技, 自动驾驶及电动汽车DRIV, 数据中心及数字基础设施DTCR, GXPTMSCI 信息技术, EUSA美国等权重, HAIL智能出行, XSD半导体, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, SOXX 半导体, 人工智能与科技AIQ, CHPXAI 半导体&量子, THRO美国主题轮动"
AAPL,85065496.0,22,"QUAL美国质量因子, DYLG道琼斯 30®备兑看涨期权及成长型, 科技XLK, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TECB美国科技突破多行业, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, XNTK科技, IYW美国科技, trut科技, GXPTMSCI 信息技术, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, MILN千禧一代消费者, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, 人工智能与科技AIQ, THRO美国主题轮动, LGLV美国大盘低波动率指数"
XOM,75085637.0,12,"XOP石油天然气, GXPE能源, DYNF美国股票因子轮动主动型, MTUM美国动量因子, EUSA美国等权重, 能源XLE, USMV美国最小波动率, IYE美国能源, XYLG标普 500备兑看涨期权及成长型, TEKX变革性科技加速器, THRO美国主题轮动, LGLV美国大盘低波动率指数"
UEC,72031556.0,5,"铀矿核能ura, XME金属与矿业, nlr铀和核能, ISCG小型股成长, IWM罗素小盘股2000指数"
T,71827364.0,11,"EGLE标普 500®美国营收领先, truc通信服务, VLUE美国价值因子, GXPC通信服务, DYNF美国股票因子轮动主动型, 通信服务XLC, EUSA美国等权重, USMV美国最小波动率, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动, LGLV美国大盘低波动率指数"
PLUG,69537390.0,9,"CTEC气候科技, IWN罗素 2000 价值, 自动驾驶及电动汽车DRIV, HAIL智能出行, IWM罗素小盘股2000指数, HYDR氢能, 美国电器化ZAP, CNRG清洁能源, ICLN全球清洁能源"
BRMS,66285800.0,1,PICK全球金属与采矿
BAC,61565505.0,10,"EGLE标普 500®美国营收领先, VLUE美国价值因子, truf金融, KBE银行, DYNF美国股票因子轮动主动型, EUSA美国等权重, KRMA有意识企业, XYLG标普 500备兑看涨期权及成长型, 金融XLF, THRO美国主题轮动"
SLB,59895465.0,9,"QUAL美国质量因子, GXPE能源, IEZ美国石油设备及服务, oih石油服务, EUSA美国等权重, 能源XLE, IYE美国能源, XYLG标普 500备兑看涨期权及成长型, THRO美国主题轮动"
CSCO,59367932.0,23,"EGLE标普 500®美国营收领先, DYLG道琼斯 30®备兑看涨期权及成长型, VLUE美国价值因子, 科技XLK, QYLG纳斯达克 100®备兑看涨期权及成长型, DYNF美国股票因子轮动主动型, TYLG信息技术类备兑看涨期权及成长型, QRMI纳斯达克 100®风险管理收益, XNTK科技, trut科技, GXPTMSCI 信息技术, DJIA道琼斯30备兑看涨期权, EUSA美国等权重, KRMA有意识企业, USMV美国最小波动率, IGM拓展科技行业, XYLG标普 500备兑看涨期权及成长型, IDGT美国数字基础设施及房地产, 人工智能与科技AIQ, CHPXAI 半导体&量子, FLAG标普 500美国市场领导者前 50 强, THRO美国主题轮动, LGLV美国大盘低波动率指数"
