Holding_Ticker,Holding_Name,Total_Market_Value,Held_By_ETF_Count
NVDA,NVIDIA CORP,218458919137.42892,67
AAPL,APPLE INC,179972680560.7201,59
MSFT,MICROSOFT CORP,134803952438.4416,67
AMZN,AMAZON.COM INC,106685785048.0801,60
AVGO,BROADCOM INC,89325080524.7936,56
GOOGL,ALPHABET INC CLASS A,57766035052.1616,40
META,META PLATFORMS INC CLASS A,56415348355.4944,47
NVDA,NVIDIA Corp,52023601370.65001,39
USD,USD CASH,47347820943.75,65
GOOG,ALPHABET INC CLASS C,46869619666.6796,39
TSLA,TESLA INC,46701318527.7129,52
AAPL,Apple Inc,43553881027.409996,37
MU,MICRON TECHNOLOGY INC,41609729390.768105,58
USD,CASH & EQUIVALENTS,38629876282.64551,39
XOM,EXXON MOBIL CORP,35013214852.506096,43
GOOGL,ALPHABET INC CL A,34353115255.440002,9
MSFT,Microsoft Corp,30883461376.36,37
AMZN,Amazon.com Inc,29761883910.32,27
GOOG,ALPHABET INC CL C,27359389283.04,8
AVGO,Broadcom Inc,26574865397.44,37
CAT,CATERPILLAR INC,26141935134.6249,48
JPM,JPMORGAN CHASE & CO,25827560434.21,39
MU,Micron Technology Inc,25489099083.14,36
GOOGL,Alphabet Inc,24717881979.600002,34
GS,GOLDMAN SACHS GROUP INC,24568182852.322502,48
WMT,WALMART INC,24566699641.766403,50
AMD,Advanced Micro Devices Inc,23802667565.64,35
LRCX,LAM RESEARCH CORP,23008313899.5289,49
GOOG,Alphabet Inc,22110266938.780003,27
AMD,ADVANCED MICRO DEVICES INC,21844284252.5521,38
LLY,ELI LILLY,21634488662.9025,33
CVX,CHEVRON CORP,21479383806.4656,42
INTC,Intel Corp,21030306870.420002,32
CSCO,CISCO SYSTEMS INC,19499747312.529602,61
TSLA,Tesla Inc,19202149788.21,29
JPM,JPMORGAN CHASE + CO,19123084396.699997,11
COST,COSTCO WHOLESALE CORP,18748283459.0625,46
ABBV,ABBVIE INC,18472497497.920902,50
META,Meta Platforms Inc,18079655398.64,35
UNH,UNITEDHEALTH GROUP INC,17818498217.3984,47
BRK.B,BERKSHIRE HATHAWAY INC CL B,17786929851.75,8
ORCL,ORACLE CORP,17475116955.6709,52
WMT,Walmart Inc,17276722190.4,32
INTC,INTEL CORPORATION CORP,17134783687.4901,36
BAC,BANK OF AMERICA CORP,17130005968.960001,43
NFLX,NETFLIX INC,16825798098.3729,47
JNJ,JOHNSON & JOHNSON,16524785448.8244,42
LLY,ELI LILLY + CO,16270963540.849998,8
HD,HOME DEPOT INC,16169306046.3025,52
V,VISA INC CLASS A,15558708122.640001,40
