As_Of_Date,ETF_Ticker,Holding_Ticker,Holding_Name,Shares,Weight_Percent,Market_Value,Total_Market_Shares,Contribution_Ratio,Days_Lag,Data_Risk,Price_x,Open_x,High_x,Low_x,Volume_x,VWAP_x,Price_y,Open_y,High_y,Low_y,Volume_y,VWAP_y,Price,Open,High,Low,Volume,VWAP
2026-05-12,xsw软件,BBAI,BIGBEAR.AI HOLDINGS INC,663125.0,0.738174,2791756.25,23159104.0,0.0286334479952246,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,IWC,BBAI,BIGBEAR.AI HOLDINGS INC,1107798.0,0.33,4663829.58,23159104.0,0.0478342340014536,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,SHLD,BBAI,BIGBEAR.AI HOLDINGS INC,5937289.0,0.32,24995986.69,23159104.0,0.2563695469392943,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,IWN,BBAI,BIGBEAR.AI HOLDINGS INC,2864281.0,0.09,12058623.01,23159104.0,0.1236784031022961,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,IWM,BBAI,BIGBEAR.AI HOLDINGS INC,10250470.0,0.05,43154478.7,23159104.0,0.4426108194859352,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,ISCG,BBAI,BIGBEAR.AI HOLDINGS INC,69260.0,0.03,291584.6,23159104.0,0.0029906165627133,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,ISCV,BBAI,BIGBEAR.AI HOLDINGS INC,49053.0,0.03,206513.13,23159104.0,0.0021180871246141,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,ISCB,BBAI,BIGBEAR.AI HOLDINGS INC,19615.0,0.03,82579.15,23159104.0,0.0008469671365524,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,SMMD,BBAI,BIGBEAR.AI HOLDINGS INC,171214.0,0.02,720810.94,23159104.0,0.0073929457719953,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,IWO,BBAI,BIGBEAR.AI HOLDINGS INC,837495.0,0.02,3525853.95,23159104.0,0.0361626684693846,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,IGM,BBAI,BIGBEAR.AI HOLDINGS INC,231958.0,0.01,976543.18,23159104.0,0.0100158451725938,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,ITOT,BBAI,BIGBEAR.AI HOLDINGS INC,590147.0,0.0,2484518.87,23159104.0,0.0254822898157027,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,IWV,BBAI,BIGBEAR.AI HOLDINGS INC,117933.0,0.0,496497.93,23159104.0,0.0050922954532265,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,SMLF,BBAI,BIGBEAR.AI HOLDINGS INC,249466.0,,1050251.86,23159104.0,0.0107718329690129,1,False,4.19,4.23,4.31,4.06,34892764.581417,4.1551,4.21,4.19,4.34,4.06,39052987.064378,4.2328,4.21,4.19,4.34,4.06,39052987.064378,4.2328
2026-05-12,FITE,ONDS,ONDAS INC,149308.0,1.048307,1322868.88,5665780.0,0.026352593994119,1,False,9.04,9.235,9.35,8.8,37093825.390632,9.0192,8.86,8.92,9.18,8.67,50015022.434857,8.9085,8.86,8.92,9.18,8.67,50015022.434857,8.9085
2026-05-12,HAIL,ONDS,ONDAS INC,21208.0,0.934919,187902.88,5665780.0,0.0037431739319211,1,False,9.04,9.235,9.35,8.8,37093825.390632,9.0192,8.86,8.92,9.18,8.67,50015022.434857,8.9085,8.86,8.92,9.18,8.67,50015022.434857,8.9085
2026-05-12,KOMP,ONDS,ONDAS INC,1937447.0,0.637287,17165780.419999998,5665780.0,0.3419559178083159,1,False,9.04,9.235,9.35,8.8,37093825.390632,9.0192,8.86,8.92,9.18,8.67,50015022.434857,8.9085,8.86,8.92,9.18,8.67,50015022.434857,8.9085
