ETF_Ticker,Holding_Ticker,Shares_Today,Shares_Prev,Delta_Shares
AIQ,000660 KS,488440.0,486890.0,1550.0
AIQ,005930 KS,2421046.0,2413396.0,7650.0
AIQ,2317 TT,10849000.0,10814000.0,35000.0
AIQ,2395 TT,2780057.0,2770057.0,10000.0
AIQ,3690 HK,4296115.0,4281115.0,15000.0
AIQ,4755 JP,4204966.0,4191616.0,13350.0
AIQ,5803 JP,1368660.0,1364460.0,4200.0
AIQ,6701 JP,1053077.0,1049727.0,3350.0
AIQ,6702 JP,1598204.0,1593154.0,5050.0
AIQ,6954 JP,758173.0,755773.0,2400.0
AIQ,700 HK,3270818.0,3260818.0,10000.0
AIQ,AAPL,1010212.0,1007012.0,3200.0
AIQ,ACN,477653.0,476153.0,1500.0
AIQ,ADBE,318658.0,317658.0,1000.0
AIQ,AI,1927034.0,1920934.0,6100.0
AIQ,AMBA,361912.0,360762.0,1150.0
AIQ,AMD,988955.0,985805.0,3150.0
AIQ,AMP IM,1546957.0,1542057.0,4900.0
AIQ,AMZN,1070687.0,1067287.0,3400.0
AIQ,APP,238784.0,238034.0,750.0
AIQ,AVGO,770872.0,768422.0,2450.0
AIQ,BABA,1416130.0,1411630.0,4500.0
AIQ,BIDU,215439.0,214739.0,700.0
AIQ,CCC,3155882.0,3145882.0,10000.0
AIQ,CDNS,211182.0,210532.0,650.0
AIQ,CLS,89198.0,88898.0,300.0
AIQ,CRM,727523.0,725223.0,2300.0
AIQ,CRWV,298943.0,297993.0,950.0
AIQ,CSCO,3374920.0,3364270.0,10650.0
AIQ,DDOG,251781.0,250981.0,800.0
AIQ,DT,608979.0,607029.0,1950.0
AIQ,DXC,1640101.0,1634901.0,5200.0
AIQ,EFX,116522.0,116172.0,350.0
AIQ,ERIC,2609295.0,2600995.0,8300.0
AIQ,EXPN LN,706901.0,704651.0,2250.0
AIQ,G,540955.0,539255.0,1700.0
AIQ,GEHC,352187.0,351087.0,1100.0
AIQ,GLOB,362013.0,360863.0,1150.0
AIQ,GOOGL,758980.0,756580.0,2400.0
AIQ,HPE,1170068.0,1166368.0,3700.0
AIQ,HUT,453610.0,452160.0,1450.0
AIQ,IBM,725816.0,723516.0,2300.0
AIQ,IFX GR,1007934.0,1004734.0,3200.0
AIQ,INTC,3870503.0,3858253.0,12250.0
AIQ,META,387143.0,385943.0,1200.0
AIQ,MRVL,656313.0,654213.0,2100.0
AIQ,MSFT,556010.0,554260.0,1750.0
AIQ,MU,631043.0,629043.0,2000.0
AIQ,NFLX,3003067.0,2993567.0,9500.0
AIQ,NOK,4442333.0,4428233.0,14100.0
AIQ,NOW,806257.0,803707.0,2550.0
AIQ,NVDA,1357320.0,1353020.0,4300.0
AIQ,NXPI,194493.0,193893.0,600.0
AIQ,OKTA,273100.0,272250.0,850.0
AIQ,ORCL,1407956.0,1403506.0,4450.0
AIQ,PATH,1650066.0,1644816.0,5250.0
AIQ,PEGA,498828.0,497228.0,1600.0
AIQ,PLTR,1512361.0,1507561.0,4800.0
AIQ,PONY,1507783.0,1502983.0,4800.0
AIQ,QCOM,831758.0,829108.0,2650.0
AIQ,QUBT,2082882.0,2076282.0,6600.0
AIQ,SAP,884095.0,881295.0,2800.0
AIQ,SHOP,949265.0,946265.0,3000.0
AIQ,SIE GR,619612.0,617662.0,1950.0
AIQ,SMCI,770357.0,767907.0,2450.0
AIQ,SNAP,3263123.0,3252773.0,10350.0
AIQ,SNOW,264847.0,263997.0,850.0
AIQ,SNPS,148367.0,147917.0,450.0
AIQ,SOUN,2292895.0,2285645.0,7250.0
AIQ,STX,165594.0,165094.0,500.0
AIQ,TDC,835684.0,833034.0,2650.0
AIQ,TEMN SW,268035.0,267185.0,850.0
AIQ,TIETO FH,1108181.0,1104681.0,3500.0
AIQ,TRI,339251.0,338201.0,1050.0
AIQ,TSLA,558149.0,556399.0,1750.0
AIQ,TSM,766116.0,763716.0,2400.0
AIQ,TWLO,197983.0,197333.0,650.0
AIQ,UBER,1613304.0,1608204.0,5100.0
AIQ,WDAY,164515.0,164015.0,500.0
AIQ,WIX,295739.0,294789.0,950.0
AIQ,WKL NA,255606.0,254806.0,800.0
AIQ,ZBRA,101020.0,100720.0,300.0
AIQ,ZS,123468.0,123068.0,400.0
AQWA,SBSP3 BZ,0.64,2.64,-2.0
BALI,AA,8724.0,8694.0,30.0
BALI,AAPL,243661.0,242821.0,840.0
BALI,ABBV,47593.0,47431.0,162.0
BALI,ABNB,24850.0,24766.0,84.0
BALI,ABT,79806.0,79530.0,276.0
BALI,ADBE,17008.0,16948.0,60.0
BALI,ADC,3457.0,3445.0,12.0
BALI,ADSK,11840.0,11798.0,42.0
BALI,AFG,41488.0,41344.0,144.0
BALI,AGNC,331400.0,330254.0,1146.0
BALI,AIT,1475.0,1469.0,6.0
BALI,AMAT,16265.0,16211.0,54.0
BALI,AMD,30040.0,29938.0,102.0
BALI,AME,34221.0,34101.0,120.0
BALI,AMGN,9107.0,9077.0,30.0
BALI,AMRZ,3649.0,3637.0,12.0
BALI,AMZN,177292.0,176680.0,612.0
BALI,APH,59640.0,59436.0,204.0
BALI,AVGO,74299.0,74041.0,258.0
BALI,AXSM,1308.0,1302.0,6.0
BALI,BAC,149266.0,148750.0,516.0
BALI,BBY,12763.0,12721.0,42.0
BALI,BKNG,40104.0,39966.0,138.0
BALI,BMY,103870.0,103510.0,360.0
BALI,BPOP,12073.0,12031.0,42.0
BALI,BRKB,24317.0,24233.0,84.0
BALI,BSX,65412.0,65184.0,228.0
BALI,BWA,88917.0,88611.0,306.0
BALI,BX,29337.0,29235.0,102.0
BALI,C,28004.0,27908.0,96.0
BALI,CAG,530308.0,528478.0,1830.0
BALI,CAH,39981.0,39843.0,138.0
BALI,CAT,10736.0,10700.0,36.0
BALI,CCK,9152.0,9122.0,30.0
BALI,CFG,45782.0,45626.0,156.0
BALI,CHKP,6942.0,6918.0,24.0
BALI,CLX,2433.0,2427.0,6.0
BALI,CME,36588.0,36462.0,126.0
BALI,CMG,64450.0,64228.0,222.0
BALI,CMS,34398.0,34278.0,120.0
BALI,COST,15472.0,15418.0,54.0
BALI,CPNG,23880.0,23796.0,84.0
BALI,CRM,27261.0,27165.0,96.0
BALI,CSCO,79610.0,79334.0,276.0
BALI,CTAS,18788.0,18722.0,66.0
BALI,CTVA,20906.0,20834.0,72.0
BALI,CUBE,45297.0,45141.0,156.0
BALI,CVX,78636.0,78366.0,270.0
BALI,DBX,15138.0,15084.0,54.0
BALI,DELL,6693.0,6669.0,24.0
BALI,DLB,13530.0,13482.0,48.0
BALI,DOX,36791.0,36665.0,126.0
BALI,DT,46272.0,46110.0,162.0
BALI,DTE,11962.0,11920.0,42.0
BALI,DUOL,2179.0,2173.0,6.0
BALI,ED,13759.0,13711.0,48.0
BALI,EOG,27433.0,27337.0,96.0
BALI,ESTC,13527.0,13479.0,48.0
BALI,ETN,10153.0,10117.0,36.0
BALI,EWBC,1842.0,1836.0,6.0
BALI,EXEL,20500.0,20428.0,72.0
BALI,EXPD,10190.0,10154.0,36.0
BALI,F,71295.0,71049.0,246.0
BALI,FCX,33513.0,33399.0,114.0
BALI,FE,28061.0,27965.0,96.0
BALI,FERG,1078.0,1072.0,6.0
BALI,FIX,3231.0,3219.0,12.0
BALI,FOXA,67885.0,67651.0,234.0
BALI,FSLR,3273.0,3261.0,12.0
BALI,GD,17662.0,17602.0,60.0
BALI,GE,14063.0,14015.0,48.0
BALI,GEV,4901.0,4883.0,18.0
BALI,GNTX,54999.0,54807.0,192.0
BALI,GOOG,86364.0,86064.0,300.0
BALI,GOOGL,105995.0,105629.0,366.0
BALI,HBAN,123560.0,123134.0,426.0
BALI,HEIA,1119.0,1113.0,6.0
BALI,HIG,17557.0,17497.0,60.0
BALI,HON,20354.0,20282.0,72.0
BALI,HR,71124.0,70878.0,246.0
BALI,IBM,14122.0,14074.0,48.0
BALI,ICE,19727.0,19661.0,66.0
BALI,IDA,2347.0,2341.0,6.0
BALI,INTC,49103.0,48935.0,168.0
BALI,INTU,6493.0,6469.0,24.0
BALI,JNJ,90392.0,90080.0,312.0
BALI,JPM,36921.0,36795.0,126.0
BALI,KEY,319452.0,318348.0,1104.0
BALI,KO,98804.0,98462.0,342.0
BALI,LKQ,8735.0,8705.0,30.0
BALI,LLY,10867.0,10831.0,36.0
