Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
-,176795709.5,5.1716%,0.0,0.00%,0.0,0.0,0.00%,3595353680.3,3418557970.8
AGPXX,34728172.83000004,8.5455%,0.0,0.00%,0.0,0.0,0.00%,441118556.54,406390383.71
FFM AU,29361963.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,29361963.0,0.0
OM CN,23588778.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,23588778.0,0.0
LFST,16569387.0,266.1220%,7.57,1.88%,7.5616,37598279.363769,612.44%,22795624.0,6226237.0
CLP,11040063.21,284.0041%,0.0,0.00%,0.0,0.0,0.00%,14927353.21,3887290.0
2899 HK,10806000.0,17.0111%,0.0,0.00%,0.0,0.0,0.00%,74329135.0,63523135.0
FDY CN,8589644.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,8589644.0,0.0
CDE,8515850.0,12.5274%,17.97,3.69%,17.9025,31969002.625094,59.48%,76493747.0,67977897.0
ASCU CN,6752475.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,6752475.0,0.0
IVN CN,5795020.0,22.7661%,0.0,0.00%,0.0,0.0,0.00%,31249582.0,25454562.0
ARG CN,5501555.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,5501555.0,0.0
HOC LN,5494700.0,124.6152%,0.0,0.00%,0.0,0.0,0.00%,9904035.0,4409335.0
3800,5035000.0,0.8592%,0.0,0.00%,0.0,0.0,0.00%,591050181.0,586015181.0
GSVR CN,4773064.0,26.9735%,0.0,0.00%,0.0,0.0,0.00%,22468454.0,17695390.0
HSLV CN,4337808.0,366368.9189%,0.0,0.00%,0.0,0.0,0.00%,4338992.0,1184.0
NVDA,4082620.3199999332,0.3026%,199.57,-4.63%,201.4297,225243958.393607,82.04%,1353385026.57,1349302406.25
SOSI SS,3661453.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,3661453.0,0.0
SLVR CN,3427457.0,25.0683%,0.0,0.00%,0.0,0.0,0.00%,17099916.0,13672459.0
MDKA IJ,3313500.0,46.5376%,0.0,0.00%,0.0,0.0,0.00%,10433553.0,7120053.0
CS CN,3146833.0,13.6591%,0.0,0.00%,0.0,0.0,0.00%,26185227.0,23038394.0
JPM,2796125.9799999893,1.4902%,313.23,1.29%,312.789,8865388.071097,10.38%,190425902.23,187629776.25
NKE,2538355.969999999,3.5238%,44.36,-0.07%,44.1992,21679491.961323,62.65%,74572226.36,72033870.39
TD,2453946.0,51.0566%,107.7,3.25%,107.3868,2323937.621526,-20.78%,7260275.0,4806329.0
DVP AU,2438018.0,31.3742%,0.0,0.00%,0.0,0.0,0.00%,10208797.0,7770779.0
AAPL,2332802.1799999475,0.3006%,271.35,0.44%,272.496,91847875.201831,207.82%,778313209.35,775980407.1700001
BVR AU,2293903.36,100.0000%,0.0,0.00%,0.0,0.0,0.00%,2293903.36,0.0
300014 C2,1993184.0,36.8440%,0.0,0.00%,0.0,0.0,0.00%,7402972.0,5409788.0
USL AU,1927438.0,14.5743%,0.0,0.00%,0.0,0.0,0.00%,15152358.0,13224920.0
INTC,1654324.730000019,0.3726%,94.48,-0.28%,93.7279,160598600.862325,-31.62%,445694923.48,444040598.75
TGB,1629893.0,12.3365%,7.16,2.73%,7.1665,7558046.581752,130.39%,14841883.0,13211990.0
AMZN,1623823.019999981,0.3277%,265.06,0.77%,262.5431,100975160.319506,40.76%,497164015.06,495540192.04
GORO,1388797.0,37.9333%,1.46,5.80%,1.4564,4342277.529474,113.83%,5049953.0,3661156.0
9660 HK,1377000.0,1.5079%,0.0,0.00%,0.0,0.0,0.00%,92694600.0,91317600.0
7172841Z,1344290.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,1344290.0,0.0
2311203D,1344290.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,1344290.0,0.0
0808421D,1344290.0,100.0000%,0.0,0.00%,0.0,0.0,0.00%,1344290.0,0.0
